shap_current_ratio,shap_quick_ratio,shap_cash_ratio,shap_roa,shap_roe,shap_net_debt_to_total_capital,shap_asset_turnover,shap_zscore_nonmanufacturing,shap_current_ratio_delta,shap_quick_ratio_delta,shap_cash_ratio_delta,shap_roa_delta,shap_roe_delta,shap_net_debt_to_total_capital_delta,shap_asset_turnover_delta,shap_zscore_nonmanufacturing_delta,company_name
0.4237640367774126,-0.4030153961947409,1.4198305490864649,0.0004229411734073635,3.469549976673586,2.7562408859633645,0.0,0.0,0.0,1.19482874737815,0.0,0.3187936057158088,5.640483975595334,-0.8587869889902672,0.0,0.0,Can-One Bhd
2.7929842939302545,0.0,0.0,3.261677246192787,0.0,0.926178369634815,0.6545429141882706,0.6837363799592149,0.0,1.890574845033612,0.6617899857283227,0.0,0.8739509119113086,0.7341314774411413,1.2351341812535215,0.0,Sentoria Group Bhd
2.079440212877641,0.9031279300790305,0.0,2.679611444090447,0.0,0.7141070349480305,0.9828647026924475,1.0107045453466261,0.7743741609299942,1.718317758595969,0.638710728263906,0.0,0.0,0.0,2.0701496603861673,0.0,KNM Group Bhd
2.54897695003311,0.0,1.0048071884074847,1.7856174297788479,0.0,0.9316798968388518,1.7084154548055934,0.7499024691054137,0.0,0.7690192191083078,0.2807769102855069,0.0,0.0,1.132129551156873,1.4520457322864604,0.0,Ireka Corporation Bhd
2.443926717378986,0.163469438616632,0.435643003229207,2.4204873355493604,1.8394222765367179,0.4192510976724441,0.0,0.0,0.0,0.0,1.100058804754444,0.3917188267674907,0.0,0.5791468898773314,1.2974907885600686,0.0,Reneuco Bhd
0.640773131535972,0.0,0.18486650994079187,0.0,0.6992059266812124,0.7108231301184106,-1.493971529852811,0.5499639881773497,0.0,2.6219796181058523,5.061632700141217,0.0,0.0,0.7209857719016569,0.9544593486359003,0.0,Nuenergy Holdings Bhd
2.820095641173623,0.0,1.4573704605987696,0.0,0.0,0.5311710021252822,0.7238230629497829,1.9244483741064644,0.0,0.6387057748636842,0.20387830227588566,0.4152097951764182,0.0,0.901014828166767,0.0,0.7718854710753404,Key Alliance Group Bhd
2.3586179098247193,0.0,0.4940333615384255,0.0,0.25015536427280644,0.3451241031968645,0.20128142086727507,4.262102486555092,0.0,1.6919446000686014,0.17160071090254644,0.0,0.0,0.2917630022117922,0.0,0.16539446407242814,GPP Resources Bhd
1.231083845529304,0.0,0.2885874584141254,0.0,0.0,0.909396614468702,3.0840768060472543,0.169777844891577,0.0,1.2149411037811453,1.0380743039774496,0.16923797810946756,0.0,0.977092296479765,0.7402128101174257,0.0,Empire Premium Food Bhd
2.8385463385361334,0.0,0.8209503679078954,0.0,0.36086695799175283,0.0,1.402499323836263,0.7498529671709775,0.817699706012096,1.3089094322215982,0.0,0.0,0.0,0.39839745815276767,0.17779332635693734,0.35846182288150263,Sentral REIT
3.196557172334291,0.0,1.0498055027759734,1.4507145726694168,0.5318573408418195,0.0,0.3730560164049447,0.6810258228871195,0.0,0.6986228724393311,0.0,0.1580436916352692,0.7281596054355689,0.0,0.27266596073037225,0.0,DRB-HICOM Bhd
